q_sim,chi_eff_sim,chi_eff_90cl
4.782094078518405178e-01,1.427731735438708162e-02,2.868877657178268148e-01
5.373285025181305796e-01,3.598176215110472920e-01,1.767610149554681431e-01
2.882183015131523085e-01,-1.803583683231722024e-01,5.445806352715081289e-01
3.416726038850633196e-01,-3.864695204558557529e-02,3.647607566617477870e-01
3.579725986666130733e-01,5.666489539138924725e-02,3.949195230324323291e-01
9.568228108673185739e-01,-1.682188552650041025e-01,2.512494396031506594e-01
7.236840135229418713e-01,5.017742582245512256e-02,2.619660495844764458e-01
9.809730931991046399e-01,3.867409183676681628e-02,1.978858338242520387e-01
9.303528124317687054e-01,-1.770014082618633633e-01,2.927485851884547019e-01
8.674651943845291813e-01,-2.378140124841980063e-01,1.884346684159221574e-01
4.104826951483706021e-01,1.290171743937544580e-01,2.115859141306479507e-01
2.753839948335214394e-01,-4.057471760588753779e-02,2.640942775828747369e-01
8.717798071783441349e-01,-3.210257000176640341e-02,2.242726040367133411e-01
7.583343361058085819e-01,-1.332642044271064308e-01,3.051545771773485072e-01
9.168793183544023950e-01,3.678063954090403653e-01,5.108548316268785028e-02
3.735358060985297657e-01,-1.092103919250299454e-01,4.746101045152494313e-01
8.204236653813954394e-01,-2.248738466093701260e-01,3.342999825680275094e-01
5.039831929097562391e-01,-4.917633507482508382e-01,5.027239944375019309e-01
2.912496067515966125e-01,1.881794566839028321e-02,3.196216636136759437e-01
3.415584059153022878e-01,1.476316617022857269e-01,2.687846063819714915e-01
6.877753910999958586e-01,7.019406261019464459e-03,2.469527191873732430e-01
7.517853210794173124e-01,2.227429146791708170e-01,1.957736834233713141e-01
9.724780493558405903e-01,-2.705302307830558251e-01,3.985471865752003851e-01
1.025775963886226272e-01,2.172968403673492255e-01,6.293555505828219987e-01
6.090212067532992934e-01,2.686741250487881816e-01,2.049683104891885377e-01
2.575540958436158268e-01,3.592878212887894995e-01,1.692964297459005896e-01
7.667167191931987258e-01,-5.854426484413884080e-02,2.790425591648171832e-01
2.525206999301464195e-01,1.866322583213742836e-01,3.155240793490603490e-01
7.630046110731144582e-01,-2.841197509881329131e-01,3.682749626253465913e-01
1.636618990439421828e-01,-2.846374447928883833e-01,5.112823974906327562e-01
9.089603953130105385e-01,4.609225480339003700e-01,1.866143237575835778e-01
2.287202961759560726e-01,8.706365592376014151e-01,1.152812216038552329e-01
5.807303066542077730e-01,-1.409414834469978617e-01,3.193261607107940048e-01
9.683152040143524486e-01,7.326687327025459273e-02,1.618188511679830577e-01
5.738300961520950150e-01,1.151332780422019766e-02,2.588391440503532426e-01
8.800037044750043114e-01,-3.798821381667258912e-01,3.791413709145062261e-01
9.753397084095382086e-01,-2.179705298543731240e-01,2.618574597406015392e-01
7.645621012830239316e-01,9.095610503277017089e-02,2.009323519681132653e-01
2.477176040989804706e-01,-2.097550588888910106e-01,4.467652409202532149e-01
1.193682997302696058e-01,1.241953146138045395e-02,4.842085488817028383e-01
8.370565009660568823e-01,1.925402416686092244e-01,2.244870697275657689e-01
3.506345016193911923e-01,5.377171489525474080e-01,1.021057268580399247e-01
5.283900792509738098e-01,-8.266034929508563056e-02,3.557015498235754913e-01
9.385366694011353372e-01,-3.101091464108663986e-01,4.123790260859167001e-01
1.890623952723755608e-01,8.614756735322065540e-02,5.117272272641191222e-01
9.867311831994510785e-01,-6.904067415216269543e-02,7.766329612480746269e-02
3.275844901918303909e-01,-4.143453921372936000e-01,4.632575436384312462e-01
2.455879984364893187e-01,-6.106946947951005095e-02,5.104307731914035084e-01
