chieff,FI,FA,HI,HA,LI,LA,FI0p5,FA0p5,HI0p5,HA0p5,LI0p5,LA0p5
-1,0,0,0,0,0,0,0,0,0,0,0,0
-0.999,0,0,0,0,0,0,0,0,0,0,0,0
-0.998,0,0,0,0,0,0,0,0,0,0,0,0
-0.997,0,0,0,0,0,0,0,0,0,0,0,0
-0.996,0,0,0,0,0,0,0,0,0,0,0,0
-0.995,0,0,0,0,0,0,0,0,0,0,0,0
-0.994,0,0,0,0,0,0,0,0,0,0,0,0
-0.993,0,0,0,0,0,0,0,0,0,0,0,0
-0.992,0,0,0,0,0,0,0,0,0,0,0,0
-0.991,0,0,0,0,0,0,0,0,0,0,0,0
-0.99,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.989,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.988,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.987,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.986,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.985,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.984,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.983,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.982,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.981,9999999999999991e-20,0,9999999999999991e-20,0,0,0,0,0,9999999999999991e-20,0,0,0
-0.98,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.979,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.978,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.977,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.976,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.975,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.974,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.973,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.972,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.971,9999999999999991e-20,0,0.00039999999999999964,0,0,0,0,0,0,0,0,0
-0.97,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.969,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.968,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
-0.967,0,0,9999999999999991e-20,0,0,0,0,0,0.00019999999999999982,0,0,0
