# fi,prior,high,flat,low
0.000000000000000000e+00,1.000000000000000000e+00,6.923194218008602934e-07,1.927481191140613739e-03,3.387365717895121642e-02
1.001001001001000992e-03,1.000000000000000000e+00,1.430471471236468371e-06,2.015779049526578680e-03,3.446128509551309865e-02
2.002002002002001985e-03,1.000000000000000000e+00,2.381214012338034512e-06,2.113258235817267426e-03,3.505422868734736630e-02
3.003003003003002977e-03,1.000000000000000000e+00,3.527273437913256716e-06,2.212936846952411832e-03,3.567243017822363527e-02
4.004004004004003969e-03,1.000000000000000000e+00,4.873669359445954319e-06,2.320515880739721596e-03,3.629264185260042130e-02
5.005005005005004962e-03,1.000000000000000000e+00,6.365181850079560613e-06,2.421680489489025541e-03,3.689557710294880111e-02
6.006006006006005954e-03,1.000000000000000000e+00,7.959188609974258605e-06,2.519312957168005993e-03,3.748811850512736438e-02
7.007007007007006946e-03,1.000000000000000000e+00,9.720267129737829656e-06,2.621552992468642509e-03,3.807025003380557632e-02
8.008008008008007939e-03,1.000000000000000000e+00,1.179234331264572386e-05,2.728321574370992739e-03,3.869160326099232300e-02
9.009009009009008931e-03,1.000000000000000000e+00,1.416153707530414728e-05,2.838026989922517226e-03,3.932291854049112939e-02
1.001001001001000992e-02,1.000000000000000000e+00,1.682267369691011337e-05,2.950852624510031264e-03,3.994252953992049465e-02
1.101101101101101092e-02,1.000000000000000000e+00,1.959855167072226847e-05,3.067150782597758123e-03,4.057175311243368249e-02
1.201201201201201191e-02,1.000000000000000000e+00,2.276503513228765293e-05,3.186330818576569180e-03,4.121622057013098195e-02
1.301301301301301290e-02,1.000000000000000000e+00,2.633849899640290442e-05,3.310638047402318911e-03,4.188154653448080550e-02
1.401401401401401389e-02,1.000000000000000000e+00,2.995571535707892557e-05,3.432353777241280417e-03,4.252149807433380779e-02
1.501501501501501488e-02,1.000000000000000000e+00,3.401946336000691285e-05,3.563037895661533023e-03,4.319674675498832300e-02
1.601601601601601588e-02,1.000000000000000000e+00,3.822363218874547509e-05,3.690265704520960532e-03,4.383473995429415515e-02
1.701701701701701513e-02,1.000000000000000000e+00,4.271936966154243356e-05,3.819106054241143758e-03,4.450614547207618760e-02
1.801801801801801786e-02,1.000000000000000000e+00,4.761543625794958278e-05,3.953697102763427916e-03,4.516880465508022607e-02
1.901901901901902059e-02,1.000000000000000000e+00,5.268663152136932075e-05,4.092893464958852028e-03,4.583561866398410539e-02
2.002002002002001985e-02,1.000000000000000000e+00,5.817368752418140577e-05,4.228248938536098220e-03,4.650910874471137629e-02
2.102102102102101910e-02,1.000000000000000000e+00,6.408369426449646777e-05,4.363202629862348962e-03,4.718843443273521010e-02
2.202202202202202183e-02,1.000000000000000000e+00,7.005538589842263855e-05,4.501146979199868899e-03,4.786951827521545438e-02
2.302302302302302456e-02,1.000000000000000000e+00,7.677669386640453028e-05,4.651653764578587459e-03,4.856823250568069461e-02
2.402402402402402382e-02,1.000000000000000000e+00,8.350909218381498704e-05,4.800273220743946426e-03,4.928136613743623606e-02
2.502502502502502307e-02,1.000000000000000000e+00,9.070374375883552770e-05,4.953999840227688370e-03,4.997244945147422124e-02
2.602602602602602580e-02,1.000000000000000000e+00,9.840176363630828964e-05,5.108213836975102409e-03,5.067871670022520980e-02
2.702702702702702853e-02,1.000000000000000000e+00,1.065192681455255874e-04,5.273989971728025930e-03,5.138400643301780507e-02
2.802802802802802778e-02,1.000000000000000000e+00,1.148740428571879980e-04,5.430834096457012351e-03,5.208106797028787260e-02
2.902902902902902704e-02,1.000000000000000000e+00,1.233097820102823977e-04,5.589863061254985062e-03,5.280016484678468763e-02
3.003003003003002977e-02,1.000000000000000000e+00,1.323439784149622661e-04,5.752077731017527298e-03,5.349897614312429384e-02
3.103103103103103250e-02,1.000000000000000000e+00,1.419367182990216938e-04,5.926422100645422318e-03,5.421439188457492786e-02
3.203203203203203175e-02,1.000000000000000000e+00,1.522840279233770514e-04,6.096368549580109299e-03,5.494759951746031046e-02
3.303303303303303101e-02,1.000000000000000000e+00,1.633119478988969027e-04,6.266456411265117557e-03,5.571018914252477694e-02
3.403403403403403027e-02,1.000000000000000000e+00,1.744428842124139481e-04,6.447456622680110445e-03,5.645303504898654262e-02
